frame,gt_count,pred_count,tp,fp,fn,id_switches,mean_risk_score,max_risk_score,medium_or_high_risk_detections
245,9,5,5,0,4,0,0.3482676729989936,0.465806222004516,1
246,9,5,5,0,4,0,0.34576095361595527,0.4296355031717113,0
247,9,5,5,0,4,0,0.33007239587442805,0.4463477926653339,0
248,9,7,5,2,4,0,0.3340993292618383,0.5188986469786492,1
249,9,5,4,1,5,0,0.3129245224289052,0.374002897470146,0
250,9,5,4,1,5,0,0.312372587621587,0.3943924543414303,0
251,8,6,5,1,3,0,0.31991975050858223,0.3943759404353097,0
252,8,5,5,0,3,0,0.34332103555190174,0.5002874869471708,1
253,8,6,5,1,3,0,0.32352647625269765,0.4342505037381838,0
254,9,6,5,1,4,0,0.33735991734273824,0.4821525075878645,1
255,9,6,5,1,4,0,0.33524887479546733,0.4537637073151144,1
256,9,6,5,1,4,0,0.3702397669961965,0.5106363496914681,1
257,9,4,4,0,5,0,0.3408158987314693,0.462302110332165,1
258,9,5,4,1,5,0,0.32765618551738973,0.3892416493929618,0
259,9,6,5,1,4,0,0.3322301339709259,0.379268911026638,0
260,8,7,6,1,2,1,0.32641205606876594,0.3888714337059492,0
261,7,7,5,2,2,0,0.3417793069359985,0.4697860969218446,1
262,7,7,4,3,3,1,0.3359223230929297,0.3883780741796319,0
263,7,7,5,2,2,0,0.35068871518369205,0.4779057047778626,1
264,7,6,5,1,2,0,0.33324332654515326,0.3960687655393954,0
265,7,6,5,1,2,0,0.3230342593643511,0.3692403546615331,0
266,7,7,5,2,2,0,0.31876236420008747,0.3848312394607093,0
267,7,7,5,2,2,0,0.33973421667165027,0.4289642757115549,0
268,6,6,4,2,2,0,0.31102388661761976,0.361934973754782,0
269,6,7,4,3,2,0,0.3189014002428881,0.3447076979506364,0
270,6,8,5,3,1,0,0.3153249953437231,0.3534108583885886,0
271,7,8,5,3,2,0,0.327404134343074,0.3871606258102016,0
272,7,8,5,3,2,0,0.35215469469537175,0.4821728553541953,1
273,7,7,6,1,1,0,0.32232750749897887,0.3992338105357615,0
274,7,7,6,1,1,0,0.310352792222407,0.3577902106310552,0
275,7,8,6,2,1,0,0.3236105407485107,0.3518538912946183,0
276,7,9,6,3,1,0,0.34044759850984485,0.4268955420798175,0
277,7,8,5,3,2,0,0.38625032810624704,0.6070630815143991,2
278,6,9,5,4,1,1,0.3505808828715225,0.457450243028046,1
279,6,7,5,2,1,0,0.33232184944615595,0.4160153342795713,0
280,9,6,4,2,5,0,0.3351392081749452,0.4077605247841959,0
281,9,8,6,2,3,1,0.3368718527699679,0.4053620587573063,0
282,9,9,6,3,3,1,0.3721399010325263,0.5572666071823935,2
283,8,6,5,1,3,1,0.34202803414448885,0.5114620585939964,1
284,8,8,5,3,3,1,0.3462643044675432,0.4625039139176771,1
285,9,8,6,2,3,0,0.3472317033266361,0.4441001308546274,0
286,9,9,6,3,3,0,0.3610792476762883,0.4649798727490122,1
287,8,7,4,3,4,0,0.35675302737651565,0.5064633674688379,1
288,8,7,4,3,4,1,0.34253920068686244,0.4368375550750267,0
289,8,7,4,3,4,0,0.3427243485869192,0.4201693044877108,0
290,8,8,5,3,3,1,0.3487259246179176,0.4052451665909345,0
291,8,8,4,4,4,0,0.33477926642523825,0.367954076021843,0
292,7,7,3,4,4,0,0.32882168105796455,0.3721697675625517,0
293,7,8,4,4,3,0,0.31622156098854126,0.4047341669465986,0
294,7,9,4,5,3,0,0.3166040742274161,0.4067234961003849,0
295,10,8,5,3,5,0,0.31304228241234044,0.342567918530776,0
296,9,10,5,5,4,0,0.34350806697101655,0.4692209407523671,1
297,9,9,5,4,4,0,0.33438367567090066,0.3938094138007812,0
298,9,8,5,3,4,0,0.33103407485178693,0.3819128580930621,0
299,9,9,5,4,4,1,0.3290179000072562,0.3797759133407902,0
300,9,8,6,2,3,0,0.3229510239456519,0.365281409937466,0
301,9,10,6,4,3,1,0.344656453125653,0.4274704996706173,0
302,9,11,5,6,4,1,0.33365085860277477,0.4605262823098107,1
303,9,10,4,6,5,0,0.34642773361717516,0.4773164071146665,1
304,8,10,4,6,4,0,0.33865579886080677,0.4491644109080668,0
305,10,10,6,4,4,0,0.32995914195327514,0.3989378759689276,0
306,10,11,6,5,4,0,0.3345115926080569,0.3985825255992046,0
307,10,11,5,6,5,1,0.34003020795373157,0.4093260987974462,0
308,10,9,6,3,4,1,0.32557520553346203,0.4033120203607153,0
309,9,11,6,5,3,1,0.321055573938879,0.3897758711312027,0
310,10,10,6,4,4,1,0.3242448840918053,0.3712985954247132,0
311,10,9,6,3,4,1,0.3207282792398813,0.3774719008059972,0
312,10,10,6,4,4,1,0.35734804182188623,0.4758212112015745,2
313,10,10,5,5,5,1,0.34349878471083334,0.4004975843181602,0
314,9,9,5,4,4,0,0.35336436722097875,0.4432098040475715,0
315,11,11,6,5,5,1,0.35112124974075437,0.3943599967963122,0
316,11,9,6,3,5,0,0.35786192934970706,0.4440736868126504,0
317,10,8,7,1,3,1,0.32711255860172017,0.4293739671631141,0
318,10,10,7,3,3,1,0.34684398469226885,0.4346562939987237,0
319,10,8,6,2,4,0,0.3547595518644475,0.4776825851463023,1
320,9,7,6,1,3,0,0.33317432723112445,0.3969445992577787,0
321,9,10,6,4,3,1,0.3346084210016519,0.407337218409479,0
322,9,9,6,3,3,1,0.3400199693600935,0.4081814130395305,0
323,8,9,7,2,1,0,0.36554854690434246,0.4651718171686105,1
324,8,7,5,2,3,1,0.4012257406255732,0.6506842080727326,2
325,7,7,7,0,0,1,0.3507058893701405,0.4361614227982475,0
326,7,8,7,1,0,0,0.3488128063218215,0.4125480481825588,0
327,7,7,6,1,1,0,0.33694967313473595,0.3907385111013833,0
328,6,6,6,0,0,0,0.33942335238762444,0.443489751771559,0
329,6,5,5,0,1,0,0.32317075552773405,0.3345148884753335,0
330,5,5,5,0,0,0,0.32728021788799405,0.4815525094783227,1
331,5,5,5,0,0,0,0.31731297549382287,0.401065763359987,0
332,5,5,5,0,0,0,0.31119245315826766,0.3796133117483484,0
333,5,7,5,2,0,0,0.3214018021145524,0.3986780747617293,0
334,5,7,5,2,0,0,0.33588893126589153,0.4712243430123927,1
335,6,6,5,1,1,0,0.3167015098280612,0.4044562218508078,0
336,5,6,5,1,0,0,0.35135097524873204,0.4723929412347253,1
337,5,5,5,0,0,0,0.33728915638139056,0.3914485362541781,0
338,5,6,5,1,0,0,0.34202669148522746,0.3814592039903461,0
339,6,6,6,0,0,0,0.3531274458374636,0.4280304441953223,0
340,8,6,6,0,2,0,0.34660560198488194,0.3847286675750632,0
341,7,7,6,1,1,0,0.36905781848789404,0.4923918282786,1
342,7,7,7,0,0,0,0.37716301741371316,0.4692486211341445,1
343,6,5,5,0,1,0,0.3526421850586073,0.4202923490779831,0
344,6,4,4,0,2,0,0.3689055840745624,0.4386603528664502,0
345,7,4,4,0,3,0,0.34437036822107436,0.3871869020141396,0
346,6,4,3,1,3,0,0.35244479353874275,0.4101247742634821,0
347,6,3,3,0,3,0,0.39191583922893886,0.4604091024592722,1
348,5,3,2,1,3,0,0.4202531550640609,0.5912325912699519,1
349,5,4,3,1,2,1,0.3852325703302637,0.5940986021595951,1
350,5,5,4,1,1,1,0.3644469167476247,0.5014846498664473,1
351,5,4,3,1,2,0,0.36290288656366065,0.3784906647502155,0
352,5,4,4,0,1,1,0.3638961241372243,0.4148804099071307,0
353,5,3,3,0,2,0,0.37949495317345433,0.4189095983657795,0
354,5,1,1,0,4,0,0.3269112124843935,0.3269112124843935,0
355,5,1,1,0,4,0,0.316773697736437,0.316773697736437,0
356,5,2,2,0,3,0,0.3177666143749761,0.3333625051656673,0
357,5,3,2,1,3,0,0.32531491435988197,0.3528658167606748,0
358,5,4,2,2,3,0,0.3518413207410327,0.3737338107270456,0
