sequence,track_id,class_name,frames,first_frame,last_frame,mean_confidence,min_confidence,mean_area,max_center_jump_per_frame_px,mean_low_confidence_risk,mean_small_box_risk,mean_border_risk,mean_motion_jump_risk,mean_short_track_risk,mean_risk_score,max_risk_score,risk_rank,risk_level,id_switch_events,pred_detections,unmatched_detections,gap_count,has_id_switch,is_short_track,is_fragmented,unmatched_detection_rate
1,372,car,19,106,124,0.7303678942354102,0.4540788829326629,12458.386452296598,51.86233784020588,0.2696321057645898,0.888405787986614,0.1578947368421052,0.3100450157693478,0.0526315789473684,0.3541793853492282,0.4191220836606236,92,low,0,19,0,0,False,False,False,0.0
1,121,car,13,36,48,0.4363707624948941,0.3742304146289825,701.1875687396296,1.3099763235164303,0.5636292375051059,0.9956310436394126,0.0,0.0095609365863771,0.0769230769230769,0.3539622137892148,0.368596038670549,93,low,0,13,0,0,False,False,False,0.0
1,444,car,17,141,157,0.7940065019270953,0.4868944883346557,22262.694038429352,48.38618976691971,0.2059934980729047,0.7989908348303812,0.3529411764705882,0.3235758164495852,0.0588235294117647,0.3539552014790517,0.4901033303516132,94,low,0,17,0,0,False,False,False,0.0
1,428,car,21,130,151,0.7366292575995127,0.3864573836326599,21675.28957034936,46.39111662595321,0.2633707424004872,0.8043479436864338,0.2857142857142857,0.3089067808918078,0.0476190476190476,0.3539389695603605,0.5603492368872005,95,low,1,21,1,1,True,False,True,0.047619047619047616
1,1005,car,26,301,326,0.6772991716861725,0.2986180782318115,10772.11556812651,54.82520121780391,0.3227008283138275,0.9037845213435772,0.1538461538461538,0.2523452817066363,0.0384615384615384,0.3533645856199852,0.4486112127611454,97,low,2,26,20,0,True,False,False,0.7692307692307693
1,130,car,23,39,71,0.6700539666673412,0.3113909661769867,12643.252206779436,61.52380964910413,0.3299460333326589,0.8867198185663302,0.1304347826086956,0.2696270968994648,0.0434782608695652,0.3533242027930361,0.5300115707297494,98,low,1,23,2,10,True,False,True,0.08695652173913043
1,959,car,23,290,318,0.7980232459047566,0.4143268167972564,25335.62263102437,49.40148644302428,0.2019767540952433,0.7709658301326543,0.4347826086956521,0.3075308793723535,0.0434782608695652,0.3533092048282127,0.4773164071146665,99,low,3,23,0,6,True,False,True,0.0
1,868,car,23,260,282,0.7489638730235721,0.4650614857673645,15550.079220669584,53.98125822587223,0.2510361269764278,0.8602096546412529,0.2608695652173913,0.2902131572899594,0.0434782608695652,0.3530064259078909,0.5258497652426967,100,low,1,23,1,0,True,False,False,0.043478260869565216
1,153,car,30,45,75,0.6297224730253219,0.3416622877120971,9932.126912053054,37.172231686742165,0.370277526974678,0.911445189440201,0.1333333333333333,0.2115784978007559,0.0333333333333333,0.3527530440818987,0.458755293248233,101,low,0,30,0,1,False,False,True,0.0
1,328,car,20,96,115,0.7169123068451881,0.3124955594539642,17831.1677504573,56.83307737597913,0.2830876931548118,0.839406204500146,0.2,0.3059608489663956,0.05,0.352643376430331,0.5078082080887377,102,low,0,20,0,0,False,False,False,0.0
1,847,car,7,253,287,0.4953817895480564,0.403003990650177,322.6243032248959,2.4492900089779748,0.5046182104519435,0.999083527800614,0.0,0.0196778042395367,0.1428571428571428,0.3523192806615643,0.3706775737660271,103,low,1,7,3,28,True,False,True,0.42857142857142855
1,16,car,37,6,44,0.5865887637073929,0.2701895534992218,12789.713005164283,54.47500346681086,0.413411236292607,0.8853841010450513,0.1351351351351351,0.1901407789439502,0.027027027027027,0.3522891483424739,0.497917932264612,104,low,1,37,0,2,True,False,True,0.0
1,354,car,19,103,121,0.7708148344566947,0.4626153707504272,19816.26866776168,52.700577058127855,0.2291851655433052,0.8213021513610729,0.2631578947368421,0.3323819392367954,0.0526315789473684,0.3520206275198713,0.503506811352469,105,low,0,19,1,0,False,False,False,0.05263157894736842
1,457,car,80,150,234,0.7257387716323137,0.2594712376594543,25846.08844422824,64.15007015020656,0.2742612283676863,0.766310399203494,0.4375,0.2477424038978486,0.0117647058823529,0.3511526937894355,0.5416619277589577,106,low,0,80,80,5,False,False,True,1.0
1,244,car,23,79,106,0.7148931389269622,0.4527355134487152,8829.272691848962,54.41693421227807,0.2851068610730378,0.921503182579582,0.1304347826086956,0.2776009101716822,0.0434782608695652,0.3510645358488355,0.4580533823751752,107,low,0,23,1,5,False,False,True,0.043478260869565216
1,1186,car,5,357,361,0.6083555936813354,0.4915434122085571,2626.418150700908,16.769378346106773,0.3916444063186645,0.9780730059311205,0.0,0.1092191718932494,0.2,0.3508304957392026,0.3737338107270456,108,low,0,5,5,0,False,False,False,1.0
1,413,car,17,120,136,0.8113168232581195,0.503747820854187,22958.1919499725,57.13518893995901,0.1886831767418805,0.7926479174306,0.2941176470588235,0.3680743783696419,0.0588235294117647,0.3506601487345889,0.5081836307644703,109,low,0,17,1,0,False,False,False,0.058823529411764705
1,839,car,43,251,364,0.5804849911567777,0.2772528529167175,6099.42633814301,57.15399938393266,0.4195150088432223,0.9463992888773454,0.0930232558139534,0.1493288493226507,0.0217391304347826,0.3487051802542477,0.5422503125561876,110,low,0,43,9,71,False,False,True,0.20930232558139536
1,1141,car,4,342,345,0.5998905450105667,0.500708281993866,1580.1305252249592,5.572081209230451,0.4001094549894333,0.9876151136422452,0.0,0.0534525600654371,0.25,0.3484135264921666,0.3808920769704635,111,low,0,4,0,0,False,False,False,0.0
1,261,car,22,81,102,0.7625749923966147,0.4260849952697754,9519.920575247266,50.76820711287116,0.2374250076033852,0.9152044972722324,0.1818181818181818,0.2872469305371499,0.0454545454545454,0.3482997930804893,0.4945504125675198,112,low,0,22,4,0,False,False,False,0.18181818181818182
1,1009,car,20,302,321,0.7687122628092766,0.4744605720043182,13609.9071484632,52.91516538589299,0.2312877371907234,0.8779039582345771,0.2,0.3088770903999563,0.05,0.3481219985445853,0.4346562939987237,113,low,0,20,11,0,False,False,False,0.55
1,828,car,25,248,284,0.4631881725788116,0.2946248650550842,594.905346379578,4.865013420284286,0.5368118274211884,0.9966003339080192,0.0,0.0288572526168951,0.04,0.3467373367911247,0.3895143454994657,114,low,0,25,17,12,False,False,True,0.68
1,1054,car,7,315,341,0.7466650605201721,0.6025522947311401,8228.142115448203,19.72547577574568,0.2533349394798279,0.926985473078676,0.1428571428571428,0.2161115968077639,0.1428571428571428,0.3456158715447759,0.4923918282786,115,low,1,7,1,20,True,False,True,0.14285714285714285
1,5,car,15,0,14,0.8268147428830465,0.5663512349128723,17149.021054336055,63.19635197806061,0.1731852571169535,0.8456273592674272,0.2,0.3701295521238249,0.0666666666666666,0.34495417416368,0.5421744123123858,116,low,0,15,0,0,False,False,False,0.0
1,1165,car,17,349,373,0.7698518178042244,0.4105129837989807,15977.191966185705,55.38319648662492,0.2301481821957756,0.8563144008665988,0.2352941176470588,0.2834708389961289,0.0588235294117647,0.3437852825301195,0.5242295661383352,117,low,1,17,2,8,True,False,True,0.11764705882352941
1,195,car,20,63,82,0.7339244931936264,0.5169938802719116,11267.31759618395,39.43635655531473,0.2660755068063736,0.8992682956180342,0.15,0.269649457239861,0.05,0.3437849001351655,0.4428407914827373,118,low,0,20,2,0,False,False,False,0.1
1,24,car,39,12,50,0.6171708618983244,0.3231328427791595,8984.863145092038,44.97803307995051,0.3828291381016755,0.9200842029151776,0.1025641025641025,0.1759651145377449,0.0256410256410256,0.3429461729736598,0.4451828944183921,119,low,0,39,2,0,False,False,False,0.05128205128205128
1,761,car,31,231,261,0.7568314056242665,0.392869234085083,15525.245937616191,45.46338627807497,0.2431685943757334,0.8604361333417044,0.1935483870967742,0.3006945021425173,0.032258064516129,0.3419239685398391,0.4697860969218446,120,low,0,31,1,0,False,False,False,0.03225806451612903
1,931,car,30,281,328,0.6689830054839452,0.3348570764064789,12995.183005806928,50.59745597860692,0.3310169945160547,0.8835102215975665,0.1666666666666666,0.2083549594292885,0.0333333333333333,0.3415450328058492,0.4885462365854135,121,low,1,30,17,18,True,False,True,0.5666666666666667
1,398,car,33,113,148,0.6501666135860212,0.350503921508789,10886.990374165196,41.44695257189893,0.3498333864139788,0.9027368670028147,0.1212121212121212,0.2021327911372839,0.0303030303030303,0.3412661905156513,0.4102240316443842,122,low,0,33,0,3,False,False,True,0.0
1,946,car,43,286,334,0.6201624502969343,0.2774341404438019,10069.209881908326,51.85586219352383,0.3798375497030657,0.9101949973975256,0.1162790697674418,0.1666648274004598,0.0232558139534883,0.339594826313526,0.4815525094783227,123,low,2,43,11,6,True,False,True,0.2558139534883721
1,916,car,31,275,313,0.485182810214258,0.2806636691093445,1370.8515745446143,5.650130261483338,0.514817189785742,0.9895237305850813,0.0,0.0307640961348463,0.032258064516129,0.3391387772745827,0.3884928502232505,124,low,0,31,28,8,False,False,True,0.9032258064516129
